XX XXX XXXXXXXX
00 001 01100110
00 001 01100111
00 001 01101000
00 001 01101001
00 001 01101010
00 001 01101011
00 001 01101100
00 001 01101101
00 001 01101110
00 001 01101111
00 001 01110000
00 001 01110001
00 001 01110010
00 001 01110011
00 001 01110100
00 001 01110101
00 001 01110110
00 001 01110111
00 001 01111000
00 001 01111001
00 001 01111010
00 001 01111011
00 001 01111100
00 001 01111101
00 001 01111110
00 001 01111111
00 001 10000000
00 001 10000001
00 001 10000010
00 001 10000011
00 001 10000100
00 001 10000101
00 001 10000110
00 001 10000111
00 001 10001000
00 001 10001001
00 001 10001010
00 001 10001011
00 001 10001100
00 001 10001101
00 001 10001110
00 001 10001111
00 001 10010000
00 001 10010001
00 001 10010010
00 001 10010011
00 001 10010100
00 001 10010101
00 001 10010110
00 001 10010111
00 001 10011000
00 001 10011001
00 001 10011010
00 001 10011011
00 001 10011100
00 001 10011101
00 001 10011110
00 001 10011111
00 001 10100000
00 001 10100001
00 001 10100010
00 001 10100011
00 001 10100100
00 001 10100101
00 001 10100110
00 001 10100111
00 001 10101000
00 001 10101001
00 001 10101010
00 001 10101011
00 001 10101100
00 001 10101101
00 001 10101110
00 001 10101111
00 001 10110000
00 001 10110001
00 001 10110010
00 001 10110011
00 001 10110100
00 001 10110101
00 001 10110110
00 001 10110111
00 001 10111000
00 001 10111001
00 001 10111010
00 001 10111011
00 001 10111100
00 001 10111101
00 001 10111110
00 001 10111111
00 001 11000000
00 001 11000001
00 001 11000010
00 001 11000011
00 001 11000100
00 001 11000101
00 001 11000110
00 001 11000111
00 001 11001000
00 001 11001001
00 001 11001010
00 001 11001011
00 001 11001100
00 001 11001101
00 001 11001110
00 001 11001111
00 001 11010000
00 001 11010001
00 001 11010010
00 001 11010011
00 001 11010100
00 001 11010101
00 001 11010110
00 001 11010111
00 001 11011000
00 001 11011001
00 001 11011010
00 001 11011011
00 001 11011100
00 001 11011101
00 001 11011110
00 001 11011111
00 001 11100000
00 001 11100001
00 001 11100010
00 001 11100011
00 001 11100100
00 001 11100101
00 001 11100110
00 001 11100111
00 001 11101000
00 001 11101001
00 001 11101010
00 001 11101011
00 001 11101100
00 001 11101101
00 001 11101110
00 001 11101111
00 001 11110000
00 001 11110001
00 001 11110010
00 001 11110011
00 001 11110100
00 001 11110101
00 001 11110110
00 001 11110111
00 001 11111000
00 001 11111001
00 001 11111010
00 001 11111011
00 001 11111100
00 001 11111101
00 001 11111110
00 001 11111111
00 010 00000000
00 010 00000001
00 010 00000010
00 010 00000011
00 010 00000100
00 010 00000101
00 010 00000110
00 010 00000111
00 010 00001000
00 010 00001001
00 010 00001010
00 010 00001011
00 010 00001100
00 010 00001101
00 010 00001110
00 010 00001111
00 010 00010000
00 010 00010001
00 010 00010010
00 010 00010011
00 010 00010100
00 010 00010101
00 010 00010110
00 010 00010111
00 010 00011000
00 010 00011001
00 010 00011010
00 010 00011011
00 010 00011100
00 010 00011101
00 010 00011110
00 010 00011111
00 010 00100000
00 010 00100001
00 010 00100010
00 010 00100011
00 010 00100100
00 010 00100101
00 010 00100110
00 010 00100111
00 010 00101000
00 010 00101001
00 010 00101010
00 010 00101011
00 010 00101100
00 010 00101101
00 010 00101110
00 010 00101111
00 010 00110000
00 010 00110001
00 010 00110010
00 010 00110011
00 010 00110100
00 010 00110101
00 010 00110110
00 010 00110111
00 010 00111000
00 010 00111001
00 010 00111010
00 010 00111011
00 010 00111100
00 010 00111101
00 010 00111110
00 010 00111111
00 010 01000000
00 010 01000001
00 010 01000010
00 010 01000011
00 010 01000100
00 010 01000101
00 010 01000110
00 010 01000111
00 010 01001000
00 010 01001001
00 010 01001010
00 010 01001011
00 010 01001100
00 010 01001101
00 010 01001110
00 010 01001111
00 010 01010000
00 010 01010001
00 010 01010010
00 010 01010011
00 010 01010100
00 010 01010101
00 010 01010110
00 010 01010111
00 010 01011000
00 010 01011001
00 010 01011010
00 010 01011011
00 010 01011100
00 010 01011101
00 010 01011110
00 010 01011111
00 010 01100000
00 010 01100001
00 010 01100010
00 010 01100011
00 010 01100100
00 010 01100101
00 010 01100110
00 010 01100111
00 010 01101000
00 010 01101001
00 010 01101010
00 010 01101011
00 010 01101100
00 010 01101101
00 010 01101110
00 010 01101111
00 010 01110000
00 010 01110001
00 010 01110010
00 010 01110011
00 010 01110100
00 010 01110101
00 010 01110110
00 010 01110111
00 010 01111000
00 010 01111001
00 010 01111010
00 010 01111011
00 010 01111100
00 010 01111101
00 010 01111110
00 010 01111111
00 010 10000000
00 010 10000001
00 010 10000010
00 010 10000011
00 010 10000100
00 010 10000101
00 010 10000110
00 010 10000111
00 010 10001000
00 010 10001001
00 010 10001010
00 010 10001011
00 010 10001100
00 010 10001101
00 010 10001110
00 010 10001111
00 010 10010000
00 010 10010001
00 010 10010010
00 010 10010011
00 010 10010100
00 010 10010101
00 010 10010110
00 010 10010111
00 010 10011000
00 010 10011001
00 010 10011010
00 010 10011011
00 010 10011100
00 010 10011101
00 010 10011110
00 010 10011111
00 010 10100000
00 010 10100001
00 010 10100010
00 010 10100011
00 010 10100100
00 010 10100101
00 010 10100110
00 010 10100111
00 010 10101000
00 010 10101001
00 010 10101010
00 010 10101011
00 010 10101100
00 010 10101101
00 010 10101110
00 010 10101111
00 010 10110000
00 010 10110001
00 010 10110010
00 010 10110011
00 010 10110100
00 010 10110101
00 010 10110110
00 010 10110111
00 010 10111000
00 010 10111001
00 010 10111010
00 010 10111011
00 010 10111100
00 010 10111101
00 010 10111110
00 010 10111111
00 010 11000000
00 010 11000001
00 010 11000010
00 010 11000011
00 010 11000100
00 010 11000101
00 010 11000110
00 010 11000111
00 010 11001000
00 010 11001001
00 010 11001010
00 010 11001011
00 010 11001100
00 010 11001101
00 010 11001110
00 010 11001111
00 010 11010000
00 010 11010001
00 010 11010010
00 010 11010011
00 010 11010100
00 010 11010101
00 010 11010110
00 010 11010111
00 010 11011000
00 010 11011001
00 010 11011010
00 010 11011011
00 010 11011100
00 010 11011101
00 010 11011110
00 010 11011111
00 010 11100000
00 010 11100001
00 010 11100010
00 010 11100011
00 010 11100100
00 010 11100101
00 010 11100110
00 010 11100111
00 010 11101000
00 010 11101001
00 010 11101010
00 010 11101011
00 010 11101100
00 010 11101101
00 010 11101110
00 010 11101111
00 010 11110000
00 010 11110001
00 010 11110010
00 010 11110011
00 010 11110100
00 010 11110101
00 010 11110110
00 010 11110111
00 010 11111000
00 010 11111001
00 010 11111010
00 010 11111011
00 010 11111100
00 010 11111101
00 010 11111110
00 010 11111111
00 011 00000000
00 011 00000001
00 011 00000010
00 011 00000011
00 011 00000100
00 011 00000101
00 011 00000110
00 011 00000111
00 011 00001000
00 011 00001001
00 011 00001010
00 011 00001011
00 011 00001100
00 011 00001101
00 011 00001110
00 011 00001111
00 011 00010000
00 011 00010001
00 011 00010010
00 011 00010011
00 011 00010100
00 011 00010101
00 011 00010110
00 011 00010111
00 011 00011000
00 011 00011001
00 011 00011010
00 011 00011011
00 011 00011100
00 011 00011101
00 011 00011110
00 011 00011111
00 011 00100000
00 011 00100001
00 011 00100010
00 011 00100011
00 011 00100100
00 011 00100101
00 011 00100110
00 011 00100111
00 011 00101000
00 011 00101001
00 011 00101010
00 011 00101011
00 011 00101100
00 011 00101101
00 011 00101110
00 011 00101111
00 011 00110000
00 011 00110001
00 011 00110010
00 011 00110011
00 011 00110100
00 011 00110101
00 011 00110110
00 011 00110111
00 011 00111000
00 011 00111001
00 011 00111010
00 011 00111011
00 011 00111100
00 011 00111101
00 011 00111110
00 011 00111111
00 011 01000000
00 011 01000001
00 011 01000010
00 011 01000011
00 011 01000100
00 011 01000101
00 011 01000110
00 011 01000111
00 011 01001000
00 011 01001001
00 011 01001010
00 011 01001011
00 011 01001100
00 011 01001101
00 011 01001110
00 011 01001111
00 011 01010000
00 011 01010001
00 011 01010010
00 011 01010011
00 011 01010100
00 011 01010101
00 011 01010110
00 011 01010111
00 011 01011000
00 011 01011001
00 011 01011010
00 011 01011011
00 011 01011100
00 011 01011101
00 011 01011110
00 011 01011111
00 011 01100000
00 011 01100001
00 011 01100010
00 011 01100011
00 011 01100100
00 011 01100101
00 011 01100110
00 011 01100111
00 011 01101000
00 011 01101001
00 011 01101010
00 011 01101011
00 011 01101100
00 011 01101101
00 011 01101110
00 011 01101111
00 011 01110000
00 011 01110001
00 011 01110010
00 011 01110011
00 011 01110100
00 011 01110101
00 011 01110110
00 011 01110111
00 011 01111000
00 011 01111001
00 011 01111010
00 011 01111011
00 011 01111100
00 011 01111101
00 011 01111110
00 011 01111111
00 011 10000000
00 011 10000001
00 011 10000010
00 011 10000011
00 011 10000100
00 011 10000101
00 011 10000110
00 011 10000111
00 011 10001000
00 011 10001001
00 011 10001010
00 011 10001011
00 011 10001100
00 011 10001101
00 011 10001110
00 011 10001111
00 011 10010000
00 011 10010001
00 011 10010010
00 011 10010011
00 011 10010100
00 011 10010101
00 011 10010110
00 011 10010111
00 011 10011000
00 011 10011001
00 011 10011010
00 011 10011011
00 011 10011100
00 011 10011101
00 011 10011110
00 011 10011111
00 011 10100000
00 011 10100001
00 011 10100010
00 011 10100011
00 011 10100100
00 011 10100101
00 011 10100110
00 011 10100111
00 011 10101000
00 011 10101001
00 011 10101010
00 011 10101011
00 011 10101100
00 011 10101101
00 011 10101110
00 011 10101111
00 011 10110000
00 011 10110001
00 011 10110010
00 011 10110011
00 011 10110100
00 011 10110101
00 011 10110110
00 011 10110111
00 011 10111000
00 011 10111001
00 011 10111010
00 011 10111011
00 011 10111100
00 011 10111101
00 011 10111110
00 011 10111111
00 011 11000000
00 011 11000001
00 011 11000010
00 011 11000011
00 011 11000100
00 011 11000101
00 011 11000110
00 011 11000111
00 011 11001000
00 011 11001001
00 011 11001010
00 011 11001011
00 011 11001100
00 011 11001101
00 011 11001110
00 011 11001111
00 011 11010000
00 011 11010001
00 011 11010010
00 011 11010011
00 011 11010100
00 011 11010101
00 011 11010110
00 011 11010111
00 011 11011000
00 011 11011001
00 011 11011010
00 011 11011011
00 011 11011100
00 011 11011101
00 011 11011110
00 011 11011111
00 011 11100000
00 011 11100001
00 011 11100010
00 011 11100011
00 011 11100100
00 011 11100101
00 011 11100110
00 011 11100111
00 011 11101000
00 011 11101001
00 011 11101010
00 011 11101011
00 011 11101100
00 011 11101101
00 011 11101110
00 011 11101111
00 011 11110000
00 011 11110001
00 011 11110010
00 011 11110011
00 011 11110100
00 011 11110101
00 011 11110110
00 011 11110111
00 011 11111000
00 011 11111001
00 011 11111010
00 011 11111011
00 011 11111100
00 011 11111101
00 011 11111110
00 011 11111111
00 100 00000000
00 100 00000001
00 100 00000010
00 100 00000011
00 100 00000100
00 100 00000101
00 100 00000110
00 100 00000111
00 100 00001000
00 100 00001001
00 100 00001010
00 100 00001011
00 100 00001100
00 100 00001101
00 100 00001110
00 100 00001111
00 100 00010000
00 100 00010001
00 100 00010010
00 100 00010011
00 100 00010100
00 100 00010101
00 100 00010110
00 100 00010111
00 100 00011000
00 100 00011001
00 100 00011010
00 100 00011011
00 100 00011100
00 100 00011101
00 100 00011110
00 100 00011111
00 100 00100000
00 100 00100001
00 100 00100010
00 100 00100011
00 100 00100100
00 100 00100101
00 100 00100110
00 100 00100111
00 100 00101000
00 100 00101001
00 100 00101010
00 100 00101011
00 100 00101100
00 100 00101101
00 100 00101110
00 100 00101111
00 100 00110000
00 100 00110001
00 100 00110010
00 100 00110011
00 100 00110100
00 100 00110101
00 100 00110110
00 100 00110111
00 100 00111000
00 100 00111001
00 100 00111010
00 100 00111011
00 100 00111100
00 100 00111101
00 100 00111110
00 100 00111111
00 100 01000000
00 100 01000001
00 100 01000010
00 100 01000011
00 100 01000100
00 100 01000101
00 100 01000110
00 100 01000111
00 100 01001000
00 100 01001001
00 100 01001010
00 100 01001011
00 100 01001100
00 100 01001101
00 100 01001110
00 100 01001111
00 100 01010000
00 100 01010001
00 100 01010010
00 100 01010011
00 100 01010100
00 100 01010101
00 100 01010110
00 100 01010111
00 100 01011000
00 100 01011001
00 100 01011010
00 100 01011011
00 100 01011100
00 100 01011101
00 100 01011110
00 100 01011111
00 100 01100000
00 100 01100001
00 100 01100010
00 100 01100011
00 100 01100100
00 100 01100101
00 100 01100110
00 100 01100111
00 100 01101000
00 100 01101001
00 100 01101010
00 100 01101011
00 100 01101100
00 100 01101101
00 100 01101110
00 100 01101111
00 100 01110000
00 100 01110001
00 100 01110010
00 100 01110011
00 100 01110100
00 100 01110101
00 100 01110110
00 100 01110111
00 100 01111000
00 100 01111001
00 100 01111010
00 100 01111011
00 100 01111100
00 100 01111101
00 100 01111110
00 100 01111111
00 100 10000000
00 100 10000001
00 100 10000010
00 100 10000011
00 100 10000100
00 100 10000101
00 100 10000110
00 100 10000111
00 100 10001000
00 100 10001001
00 100 10001010
00 100 10001011
00 100 10001100
00 100 10001101
00 100 10001110
00 100 10001111
00 100 10010000
00 100 10010001
00 100 10010010
00 100 10010011
00 100 10010100
00 100 10010101
00 100 10010110
00 100 10010111
00 100 10011000
00 100 10011001
00 100 10011010
00 100 10011011
00 100 10011100
00 100 10011101
00 100 10011110
00 100 10011111
00 100 10100000
00 100 10100001
00 100 10100010
00 100 10100011
00 100 10100100
00 100 10100101
00 100 10100110
00 100 10100111
00 100 10101000
00 100 10101001
00 100 10101010
00 100 10101011
00 100 10101100
00 100 10101101
00 100 10101110
00 100 10101111
00 100 10110000
00 100 10110001
00 100 10110010
00 100 10110011
00 100 10110100
00 100 10110101
00 100 10110110
00 100 10110111
00 100 10111000
00 100 10111001
00 100 10111010
00 100 10111011
00 100 10111100
00 100 10111101
00 100 10111110
00 100 10111111
00 100 11000000
00 100 11000001
00 100 11000010
00 100 11000011
00 100 11000100
00 100 11000101
00 100 11000110
00 100 11000111
00 100 11001000
00 100 11001001
00 100 11001010
00 100 11001011
00 100 11001100
00 100 11001101
00 100 11001110
00 100 11001111
00 100 11010000
00 100 11010001
00 100 11010010
00 100 11010011
00 100 11010100
00 100 11010101
00 100 11010110
00 100 11010111
00 100 11011000
00 100 11011001
00 100 11011010
00 100 11011011
00 100 11011100
00 100 11011101
00 100 11011110
00 100 11011111
00 100 11100000
00 100 11100001
00 100 11100010
00 100 11100011
00 100 11100100
00 100 11100101
00 100 11100110
00 100 11100111
00 100 11101000
00 100 11101001
00 100 11101010
00 100 11101011
00 100 11101100
00 100 11101101
00 100 11101110
00 100 11101111
00 100 11110000
00 100 11110001
00 100 11110010
00 100 11110011
00 100 11110100
00 100 11110101
00 100 11110110
00 100 11110111
00 100 11111000
00 100 11111001
00 100 11111010
00 100 11111011
00 100 11111100
00 100 11111101
00 100 11111110
00 100 11111111
00 101 00000000
00 101 00000001
00 101 00000010
00 101 00000011
00 101 00000100
00 101 00000101
00 101 00000110
00 101 00000111
00 101 00001000
00 101 00001001
00 101 00001010
00 101 00001011
00 101 00001100
00 101 00001101
00 101 00001110
00 101 00001111
00 101 00010000
00 101 00010001
00 101 00010010
00 101 00010011
00 101 00010100
00 101 00010101
00 101 00010110
00 101 00010111
00 101 00011000
00 101 00011001
00 101 00011010
00 101 00011011
00 101 00011100
00 101 00011101
00 101 00011110
00 101 00011111
00 101 00100000
00 101 00100001
00 101 00100010
00 101 00100011
00 101 00100100
00 101 00100101
00 101 00100110
00 101 00100111
00 101 00101000
00 101 00101001
00 101 00101010
00 101 00101011
00 101 00101100
00 101 00101101
00 101 00101110
00 101 00101111
00 101 00110000
00 101 00110001
00 101 00110010
00 101 00110011
00 101 00110100
00 101 00110101
00 101 00110110
00 101 00110111
00 101 00111000
00 101 00111001
00 101 00111010
00 101 00111011
00 101 00111100
00 101 00111101
00 101 00111110
00 101 00111111
00 101 01000000
00 101 01000001
00 101 01000010
00 101 01000011
00 101 01000100
00 101 01000101
00 101 01000110
00 101 01000111
00 101 01001000
00 101 01001001
00 101 01001010
00 101 01001011
00 101 01001100
00 101 01001101
00 101 01001110
00 101 01001111
00 101 01010000
00 101 01010001
00 101 01010010
00 101 01010011
00 101 01010100
00 101 01010101
00 101 01010110
00 101 01010111
00 101 01011000
00 101 01011001
00 101 01011010
00 101 01011011
00 101 01011100
00 101 01011101
00 101 01011110
00 101 01011111
00 101 01100000
00 101 01100001
00 101 01100010
00 101 01100011
00 101 01100100
00 101 01100101
00 101 01100110
00 101 01100111
00 101 01101000
00 101 01101001
00 101 01101010
00 101 01101011
00 101 01101100
00 101 01101101
00 101 01101110
00 101 01101111
00 101 01110000
00 101 01110001
00 101 01110010
00 101 01110011
00 101 01110100
00 101 01110101
00 101 01110110
00 101 01110111
00 101 01111000
00 101 01111001
00 101 01111010
00 101 01111011
00 101 01111100
00 101 01111101
00 101 01111110
00 101 01111111
00 101 10000000
00 101 10000001
00 101 10000010
00 101 10000011
00 101 10000100
00 101 10000101
00 101 10000110
00 101 10000111
00 101 10001000
00 101 10001001
00 101 10001010
00 101 10001011
00 101 10001100
00 101 10001101
00 101 10001110
00 101 10001111
00 101 10010000
00 101 10010001
00 101 10010010
00 101 10010011
00 101 10010100
00 101 10010101
00 101 10010110
00 101 10010111
00 101 10011000
00 101 10011001
00 101 10011010
00 101 10011011
00 101 10011100
00 101 10011101
00 101 10011110
00 101 10011111
00 101 10100000
00 101 10100001
00 101 10100010
00 101 10100011
00 101 10100100
00 101 10100101
00 101 10100110
00 101 10100111
00 101 10101000
00 101 10101001
00 101 10101010
00 101 10101011
00 101 10101100
00 101 10101101
00 101 10101110
00 101 10101111
00 101 10110000
00 101 10110001
00 101 10110010
00 101 10110011
00 101 10110100
00 101 10110101
00 101 10110110
00 101 10110111
00 101 10111000
00 101 10111001
00 101 10111010
00 101 10111011
00 101 10111100
00 101 10111101
00 101 10111110
00 101 10111111
00 101 11000000
00 101 11000001
00 101 11000010
00 101 11000011
00 101 11000100
00 101 11000101
00 101 11000110
00 101 11000111
00 101 11001000
00 101 11001001
00 101 11001010
00 101 11001011
00 101 11001100
00 101 11001101
00 101 11001110
00 101 11001111
00 101 11010000
00 101 11010001
00 101 11010010
00 101 11010011
00 101 11010100
00 101 11010101
00 101 11010110
00 101 11010111
00 101 11011000
00 101 11011001
00 101 11011010
00 101 11011011
00 101 11011100
00 101 11011101
00 101 11011110
00 101 11011111
00 101 11100000
00 101 11100001
00 101 11100010
00 101 11100011
00 101 11100100
00 101 11100101
00 101 11100110
00 101 11100111
00 101 11101000
00 101 11101001
00 101 11101010
00 101 11101011
00 101 11101100
00 101 11101101
00 101 11101110
00 101 11101111
00 101 11110000
00 101 11110001
00 101 11110010
00 101 11110011
00 101 11110100
00 101 11110101
00 101 11110110
00 101 11110111
00 101 11111000
00 101 11111001
00 101 11111010
00 101 11111011
00 101 11111100
00 101 11111101
00 101 11111110
00 101 11111111
00 110 00000000
00 110 00000001
00 110 00000010
00 110 00000011
00 110 00000100
00 110 00000101
00 110 00000110
00 110 00000111
00 110 00001000
00 110 00001001
00 110 00001010
00 110 00001011
00 110 00001100
00 110 00001101
00 110 00001110
00 110 00001111
00 110 00010000
00 110 00010001
00 110 00010010
00 110 00010011
00 110 00010100
00 110 00010101
00 110 00010110
00 110 00010111
00 110 00011000
00 110 00011001
00 110 00011010
00 110 00011011
00 110 00011100
00 110 00011101
00 110 00011110
00 110 00011111
00 110 00100000
00 110 00100001
00 110 00100010
00 110 00100011
00 110 00100100
00 110 00100101
00 110 00100110
00 110 00100111
00 110 00101000
00 110 00101001
00 110 00101010
00 110 00101011
00 110 00101100
00 110 00101101
00 110 00101110
00 110 00101111
00 110 00110000
00 110 00110001
00 110 00110010
00 110 00110011
00 110 00110100
00 110 00110101
00 110 00110110
00 110 00110111
00 110 00111000
00 110 00111001
00 110 00111010
00 110 00111011
00 110 00111100
00 110 00111101
00 110 00111110
00 110 00111111
00 110 01000000
00 110 01000001
00 110 01000010
00 110 01000011
00 110 01000100
00 110 01000101
00 110 01000110
00 110 01000111
00 110 01001000
00 110 01001001
00 110 01001010
00 110 01001011
00 110 01001100
00 110 01001101
00 110 01001110
00 110 01001111
00 110 01010000
00 110 01010001
00 110 01010010
00 110 01010011
00 110 01010100
00 110 01010101
00 110 01010110
00 110 01010111
00 110 01011000
00 110 01011001
00 110 01011010
00 110 01011011
00 110 01011100
00 110 01011101
00 110 01011110
00 110 01011111
00 110 01100000
00 110 01100001
00 110 01100010
00 110 01100011
00 110 01100100
00 110 01100101
00 110 01100110
00 110 01100111
00 110 01101000
00 110 01101001
00 110 01101010
00 110 01101011
00 110 01101100
00 110 01101101
00 110 01101110
00 110 01101111
00 110 01110000
00 110 01110001
00 110 01110010
00 110 01110011
00 110 01110100
00 110 01110101
00 110 01110110
00 110 01110111
00 110 01111000
00 110 01111001
00 110 01111010
00 110 01111011
00 110 01111100
00 110 01111101
00 110 01111110
00 110 01111111
00 110 10000000
00 110 10000001
00 110 10000010
00 110 10000011
00 110 10000100
00 110 10000101
00 110 10000110
00 110 10000111
00 110 10001000
00 110 10001001
00 110 10001010
00 110 10001011
00 110 10001100
00 110 10001101
00 110 10001110
00 110 10001111
00 110 10010000
00 110 10010001
00 110 10010010
00 110 10010011
00 110 10010100
00 110 10010101
00 110 10010110
00 110 10010111
00 110 10011000
00 110 10011001
00 110 10011010
00 110 10011011
00 110 10011100
00 110 10011101
00 110 10011110
00 110 10011111
00 110 10100000
00 110 10100001
00 110 10100010
00 110 10100011
00 110 10100100
00 110 10100101
00 110 10100110
00 110 10100111
00 110 10101000
00 110 10101001
00 110 10101010
00 110 10101011
00 110 10101100
00 110 10101101
00 110 10101110
00 110 10101111
00 110 10110000
00 110 10110001
00 110 10110010
00 110 10110011
00 110 10110100
00 110 10110101
00 110 10110110
00 110 10110111
00 110 10111000
00 110 10111001
00 110 10111010
00 110 10111011
00 110 10111100
00 110 10111101
00 110 10111110
00 110 10111111
00 110 11000000
00 110 11000001
00 110 11000010
00 110 11000011
00 110 11000100
00 110 11000101
00 110 11000110
00 110 11000111
00 110 11001000
00 110 11001001
00 110 11001010
00 110 11001011
00 110 11001100
00 110 11001101
00 110 11001110
00 110 11001111
