XXXXXXXX XXX
00100000 100
00100000 101
00100000 110
00100000 111
00100001 000
00100001 001
00100001 010
00100001 011
00100001 100
00100001 101
00100001 110
00100001 111
00100010 000
00100010 001
00100010 010
00100010 011
00100010 100
00100010 101
00100010 110
00100010 111
00100011 000
00100011 001
00100011 010
00100011 011
00100011 100
00100011 101
00100011 110
00100011 111
00100100 000
00100100 001
00100100 010
00100100 011
00100100 100
00100100 101
00100100 110
00100100 111
00100101 000
00100101 001
00100101 010
00100101 011
00100101 100
00100101 101
00100101 110
00100101 111
00100110 000
00100110 001
00100110 010
00100110 011
00100110 100
00100110 101
00100110 110
00100110 111
00100111 000
00100111 001
00100111 010
00100111 011
00100111 100
00100111 101
00100111 110
00100111 111
00101000 000
00101000 001
00101000 010
00101000 011
00101000 100
00101000 101
00101000 110
00101000 111
00101001 000
00101001 001
00101001 010
00101001 011
00101001 100
00101001 101
00101001 110
00101001 111
00101010 000
00101010 001
00101010 010
00101010 011
00101010 100
00101010 101
00101010 110
00101010 111
00101011 000
00101011 001
00101011 010
00101011 011
00101011 100
00101011 101
00101011 110
00101011 111
00101100 000
00101100 001
00101100 010
00101100 011
00101100 100
00101100 101
00101100 110
00101100 111
00101101 000
00101101 001
00101101 010
00101101 011
00101101 100
00101101 101
00101101 110
00101101 111
00101110 000
00101110 001
00101110 010
00101110 011
00101110 100
00101110 101
00101110 110
00101110 111
00101111 000
00101111 001
00101111 010
00101111 011
00101111 100
00101111 101
00101111 110
00101111 111
00110000 000
00110000 001
00110000 010
00110000 011
00110000 100
00110000 101
00110000 110
00110000 111
00110001 000
00110001 001
00110001 010
00110001 011
00110001 100
00110001 101
00110001 110
00110001 111
00110010 000
00110010 001
00110010 010
00110010 011
00110010 100
00110010 101
00110010 110
00110010 111
00110011 000
00110011 001
00110011 010
00110011 011
00110011 100
00110011 101
00110011 110
00110011 111
00110100 000
00110100 001
00110100 010
00110100 011
00110100 100
00110100 101
00110100 110
00110100 111
00110101 000
00110101 001
00110101 010
00110101 011
00110101 100
00110101 101
00110101 110
00110101 111
00110110 000
00110110 001
00110110 010
00110110 011
00110110 100
00110110 101
00110110 110
00110110 111
00110111 000
00110111 001
00110111 010
00110111 011
00110111 100
00110111 101
00110111 110
00110111 111
00111000 000
00111000 001
00111000 010
00111000 011
00111000 100
00111000 101
00111000 110
00111000 111
00111001 000
00111001 001
00111001 010
00111001 011
00111001 100
00111001 101
00111001 110
00111001 111
00111010 000
00111010 001
00111010 010
00111010 011
00111010 100
00111010 101
00111010 110
00111010 111
00111011 000
00111011 001
00111011 010
00111011 011
00111011 100
00111011 101
00111011 110
00111011 111
00111100 000
00111100 001
00111100 010
00111100 011
00111100 100
00111100 101
00111100 110
00111100 111
00111101 000
00111101 001
00111101 010
00111101 011
00111101 100
00111101 101
00111101 110
00111101 111
00111110 000
00111110 001
00111110 010
00111110 011
00111110 100
00111110 101
00111110 110
00111110 111
00111111 000
00111111 001
00111111 010
00111111 011
00111111 100
00111111 101
00111111 110
00111111 111
01000000 000
01000000 001
01000000 010
01000000 011
01000000 100
01000000 101
01000000 110
01000000 111
01000001 000
01000001 001
01000001 010
01000001 011
01000001 100
01000001 101
01000001 110
01000001 111
01000010 000
01000010 001
01000010 010
01000010 011
01000010 100
01000010 101
01000010 110
01000010 111
01000011 000
01000011 001
01000011 010
01000011 011
01000011 100
01000011 101
01000011 110
01000011 111
01000100 000
01000100 001
01000100 010
01000100 011
01000100 100
01000100 101
01000100 110
01000100 111
01000101 000
01000101 001
01000101 010
01000101 011
01000101 100
01000101 101
01000101 110
01000101 111
01000110 000
01000110 001
01000110 010
01000110 011
01000110 100
01000110 101
01000110 110
01000110 111
01000111 000
01000111 001
01000111 010
01000111 011
01000111 100
01000111 101
01000111 110
01000111 111
01001000 000
01001000 001
01001000 010
01001000 011
01001000 100
01001000 101
01001000 110
01001000 111
01001001 000
01001001 001
01001001 010
01001001 011
01001001 100
01001001 101
01001001 110
01001001 111
01001010 000
01001010 001
01001010 010
01001010 011
01001010 100
01001010 101
01001010 110
01001010 111
01001011 000
01001011 001
01001011 010
01001011 011
01001011 100
01001011 101
01001011 110
01001011 111
01001100 000
01001100 001
01001100 010
01001100 011
01001100 100
01001100 101
01001100 110
01001100 111
01001101 000
01001101 001
01001101 010
01001101 011
01001101 100
01001101 101
01001101 110
01001101 111
01001110 000
01001110 001
01001110 010
01001110 011
01001110 100
01001110 101
01001110 110
01001110 111
01001111 000
01001111 001
01001111 010
01001111 011
01001111 100
01001111 101
01001111 110
01001111 111
01010000 000
01010000 001
01010000 010
01010000 011
01010000 100
01010000 101
01010000 110
01010000 111
01010001 000
01010001 001
01010001 010
01010001 011
01010001 100
01010001 101
01010001 110
01010001 111
01010010 000
01010010 001
01010010 010
01010010 011
01010010 100
01010010 101
01010010 110
01010010 111
01010011 000
01010011 001
01010011 010
01010011 011
01010011 100
01010011 101
01010011 110
01010011 111
01010100 000
01010100 001
01010100 010
01010100 011
01010100 100
01010100 101
01010100 110
01010100 111
01010101 000
01010101 001
01010101 010
01010101 011
01010101 100
01010101 101
01010101 110
01010101 111
01010110 000
01010110 001
01010110 010
01010110 011
01010110 100
01010110 101
01010110 110
01010110 111
01010111 000
01010111 001
01010111 010
01010111 011
01010111 100
01010111 101
01010111 110
01010111 111
01011000 000
01011000 001
01011000 010
01011000 011
01011000 100
01011000 101
01011000 110
01011000 111
01011001 000
01011001 001
01011001 010
01011001 011
01011001 100
01011001 101
01011001 110
01011001 111
01011010 000
01011010 001
01011010 010
01011010 011
01011010 100
01011010 101
01011010 110
01011010 111
01011011 000
01011011 001
01011011 010
01011011 011
01011011 100
01011011 101
01011011 110
01011011 111
01011100 000
01011100 001
01011100 010
01011100 011
01011100 100
01011100 101
01011100 110
01011100 111
01011101 000
01011101 001
01011101 010
01011101 011
01011101 100
01011101 101
01011101 110
01011101 111
01011110 000
01011110 001
01011110 010
01011110 011
01011110 100
01011110 101
01011110 110
01011110 111
01011111 000
01011111 001
01011111 010
01011111 011
01011111 100
01011111 101
01011111 110
01011111 111
01100000 000
01100000 001
01100000 010
01100000 011
01100000 100
01100000 101
01100000 110
01100000 111
01100001 000
01100001 001
01100001 010
01100001 011
01100001 100
01100001 101
01100001 110
01100001 111
01100010 000
01100010 001
01100010 010
01100010 011
01100010 100
01100010 101
01100010 110
01100010 111
01100011 000
01100011 001
01100011 010
01100011 011
01100011 100
01100011 101
01100011 110
01100011 111
01100100 000
01100100 001
01100100 010
01100100 011
01100100 100
01100100 101
01100100 110
01100100 111
01100101 000
01100101 001
01100101 010
01100101 011
01100101 100
01100101 101
01100101 110
01100101 111
01100110 000
01100110 001
01100110 010
01100110 011
01100110 100
01100110 101
01100110 110
01100110 111
01100111 000
01100111 001
01100111 010
01100111 011
01100111 100
01100111 101
01100111 110
01100111 111
01101000 000
01101000 001
01101000 010
01101000 011
01101000 100
01101000 101
01101000 110
01101000 111
01101001 000
01101001 001
01101001 010
01101001 011
01101001 100
01101001 101
01101001 110
01101001 111
01101010 000
01101010 001
01101010 010
01101010 011
01101010 100
01101010 101
01101010 110
01101010 111
01101011 000
01101011 001
01101011 010
01101011 011
01101011 100
01101011 101
01101011 110
01101011 111
01101100 000
01101100 001
01101100 010
01101100 011
01101100 100
01101100 101
01101100 110
01101100 111
01101101 000
01101101 001
01101101 010
01101101 011
01101101 100
01101101 101
01101101 110
01101101 111
01101110 000
01101110 001
01101110 010
01101110 011
01101110 100
01101110 101
01101110 110
01101110 111
01101111 000
01101111 001
01101111 010
01101111 011
01101111 100
01101111 101
01101111 110
01101111 111
01110000 000
01110000 001
01110000 010
01110000 011
01110000 100
01110000 101
01110000 110
01110000 111
01110001 000
01110001 001
01110001 010
01110001 011
01110001 100
01110001 101
01110001 110
01110001 111
01110010 000
01110010 001
01110010 010
01110010 011
01110010 100
01110010 101
01110010 110
01110010 111
01110011 000
01110011 001
01110011 010
01110011 011
01110011 100
01110011 101
01110011 110
01110011 111
01110100 000
01110100 001
01110100 010
01110100 011
01110100 100
01110100 101
01110100 110
01110100 111
01110101 000
01110101 001
01110101 010
01110101 011
01110101 100
01110101 101
01110101 110
01110101 111
01110110 000
01110110 001
01110110 010
01110110 011
01110110 100
01110110 101
01110110 110
01110110 111
01110111 000
01110111 001
01110111 010
01110111 011
01110111 100
01110111 101
01110111 110
01110111 111
01111000 000
01111000 001
01111000 010
01111000 011
01111000 100
01111000 101
01111000 110
01111000 111
01111001 000
01111001 001
01111001 010
01111001 011
01111001 100
01111001 101
01111001 110
01111001 111
01111010 000
01111010 001
01111010 010
01111010 011
01111010 100
01111010 101
01111010 110
01111010 111
01111011 000
01111011 001
01111011 010
01111011 011
01111011 100
01111011 101
01111011 110
01111011 111
01111100 000
01111100 001
01111100 010
01111100 011
01111100 100
01111100 101
01111100 110
01111100 111
01111101 000
01111101 001
01111101 010
01111101 011
01111101 100
01111101 101
01111101 110
01111101 111
01111110 000
01111110 001
01111110 010
01111110 011
01111110 100
01111110 101
01111110 110
01111110 111
01111111 000
01111111 001
01111111 010
01111111 011
01111111 100
01111111 101
01111111 110
01111111 111
10000000 000
10000000 001
10000000 010
10000000 011
10000000 100
10000000 101
10000000 110
10000000 111
10000001 000
10000001 001
10000001 010
10000001 011
10000001 100
10000001 101
10000001 110
10000001 111
10000010 000
10000010 001
10000010 010
10000010 011
10000010 100
10000010 101
10000010 110
10000010 111
10000011 000
10000011 001
10000011 010
10000011 011
10000011 100
10000011 101
10000011 110
10000011 111
10000100 000
10000100 001
10000100 010
10000100 011
10000100 100
10000100 101
10000100 110
10000100 111
10000101 000
10000101 001
10000101 010
10000101 011
10000101 100
10000101 101
10000101 110
10000101 111
10000110 000
10000110 001
10000110 010
10000110 011
10000110 100
10000110 101
10000110 110
10000110 111
10000111 000
10000111 001
10000111 010
10000111 011
10000111 100
10000111 101
10000111 110
10000111 111
10001000 000
10001000 001
10001000 010
10001000 011
10001000 100
10001000 101
10001000 110
10001000 111
10001001 000
10001001 001
10001001 010
10001001 011
10001001 100
10001001 101
10001001 110
10001001 111
10001010 000
10001010 001
10001010 010
10001010 011
10001010 100
10001010 101
10001010 110
10001010 111
10001011 000
10001011 001
10001011 010
10001011 011
10001011 100
10001011 101
10001011 110
10001011 111
10001100 000
10001100 001
10001100 010
10001100 011
10001100 100
10001100 101
10001100 110
10001100 111
10001101 000
10001101 001
10001101 010
10001101 011
10001101 100
10001101 101
10001101 110
10001101 111
10001110 000
10001110 001
10001110 010
10001110 011
10001110 100
10001110 101
10001110 110
10001110 111
10001111 000
10001111 001
10001111 010
10001111 011
10001111 100
10001111 101
10001111 110
10001111 111
10010000 000
10010000 001
10010000 010
10010000 011
10010000 100
10010000 101
10010000 110
10010000 111
10010001 000
10010001 001
10010001 010
10010001 011
10010001 100
10010001 101
10010001 110
10010001 111
10010010 000
10010010 001
10010010 010
10010010 011
10010010 100
10010010 101
10010010 110
10010010 111
10010011 000
10010011 001
10010011 010
10010011 011
10010011 100
10010011 101
10010011 110
10010011 111
10010100 000
10010100 001
10010100 010
10010100 011
10010100 100
10010100 101
10010100 110
10010100 111
10010101 000
10010101 001
10010101 010
10010101 011
10010101 100
10010101 101
10010101 110
10010101 111
10010110 000
10010110 001
10010110 010
10010110 011
10010110 100
10010110 101
10010110 110
10010110 111
10010111 000
10010111 001
10010111 010
10010111 011
10010111 100
10010111 101
10010111 110
10010111 111
10011000 000
10011000 001
10011000 010
10011000 011
10011000 100
10011000 101
10011000 110
10011000 111
10011001 000
10011001 001
10011001 010
10011001 011
10011001 100
10011001 101
10011001 110
10011001 111
10011010 000
10011010 001
10011010 010
10011010 011
10011010 100
10011010 101
10011010 110
10011010 111
10011011 000
10011011 001
10011011 010
10011011 011
10011011 100
10011011 101
10011011 110
10011011 111
10011100 000
10011100 001
10011100 010
10011100 011
10011100 100
10011100 101
10011100 110
10011100 111
10011101 000
10011101 001
10011101 010
10011101 011
10011101 100
10011101 101
10011101 110
10011101 111
10011110 000
10011110 001
10011110 010
10011110 011
10011110 100
10011110 101
10011110 110
10011110 111
10011111 000
10011111 001
10011111 010
10011111 011
10011111 100
10011111 101
10011111 110
10011111 111
10100000 000
10100000 001
10100000 010
10100000 011
10100000 100
10100000 101
10100000 110
10100000 111
10100001 000
10100001 001
10100001 010
10100001 011
10100001 100
10100001 101
10100001 110
10100001 111
10100010 000
10100010 001
10100010 010
10100010 011
10100010 100
10100010 101
10100010 110
10100010 111
10100011 000
10100011 001
10100011 010
10100011 011
10100011 100
10100011 101
10100011 110
10100011 111
10100100 000
10100100 001
10100100 010
10100100 011
10100100 100
10100100 101
10100100 110
10100100 111
10100101 000
10100101 001
10100101 010
10100101 011
10100101 100
10100101 101
10100101 110
10100101 111
10100110 000
10100110 001
10100110 010
10100110 011
10100110 100
10100110 101
10100110 110
10100110 111
10100111 000
10100111 001
10100111 010
10100111 011
10100111 100
10100111 101
10100111 110
10100111 111
10101000 000
10101000 001
10101000 010
10101000 011
10101000 100
10101000 101
10101000 110
10101000 111
10101001 000
10101001 001
10101001 010
10101001 011
10101001 100
10101001 101
10101001 110
10101001 111
10101010 000
10101010 001
10101010 010
10101010 011
10101010 100
10101010 101
10101010 110
10101010 111
10101011 000
10101011 001
10101011 010
10101011 011
10101011 100
10101011 101
10101011 110
10101011 111
10101100 000
10101100 001
10101100 010
10101100 011
10101100 100
10101100 101
10101100 110
10101100 111
10101101 000
10101101 001
10101101 010
10101101 011
10101101 100
10101101 101
10101101 110
10101101 111
10101110 000
10101110 001
10101110 010
10101110 011
10101110 100
10101110 101
10101110 110
10101110 111
10101111 000
10101111 001
10101111 010
10101111 011
10101111 100
10101111 101
10101111 110
10101111 111
10110000 000
10110000 001
10110000 010
10110000 011
10110000 100
10110000 101
10110000 110
10110000 111
10110001 000
10110001 001
10110001 010
10110001 011
10110001 100
10110001 101
10110001 110
10110001 111
10110010 000
10110010 001
10110010 010
10110010 011
10110010 100
10110010 101
10110010 110
10110010 111
10110011 000
10110011 001
10110011 010
10110011 011
10110011 100
10110011 101
10110011 110
10110011 111
10110100 000
10110100 001
10110100 010
10110100 011
10110100 100
10110100 101
10110100 110
10110100 111
10110101 000
10110101 001
10110101 010
10110101 011
10110101 100
10110101 101
10110101 110
10110101 111
10110110 000
10110110 001
10110110 010
10110110 011
10110110 100
10110110 101
10110110 110
10110110 111
10110111 000
10110111 001
10110111 010
10110111 011
10110111 100
10110111 101
10110111 110
10110111 111
10111000 000
10111000 001
10111000 010
10111000 011
10111000 100
10111000 101
10111000 110
10111000 111
10111001 000
10111001 001
10111001 010
10111001 011
10111001 100
10111001 101
10111001 110
10111001 111
10111010 000
10111010 001
10111010 010
10111010 011
10111010 100
10111010 101
10111010 110
10111010 111
10111011 000
10111011 001
10111011 010
10111011 011
10111011 100
10111011 101
10111011 110
10111011 111
10111100 000
10111100 001
10111100 010
10111100 011
10111100 100
10111100 101
10111100 110
10111100 111
10111101 000
10111101 001
10111101 010
10111101 011
10111101 100
10111101 101
10111101 110
10111101 111
10111110 000
10111110 001
10111110 010
10111110 011
10111110 100
10111110 101
10111110 110
10111110 111
10111111 000
10111111 001
10111111 010
10111111 011
10111111 100
10111111 101
10111111 110
10111111 111
11000000 000
11000000 001
11000000 010
11000000 011
11000000 100
11000000 101
11000000 110
11000000 111
11000001 000
11000001 001
11000001 010
11000001 011
11000001 100
11000001 101
11000001 110
11000001 111
11000010 000
11000010 001
11000010 010
11000010 011
11000010 100
11000010 101
11000010 110
11000010 111
11000011 000
11000011 001
11000011 010
11000011 011
11000011 100
11000011 101
11000011 110
11000011 111
11000100 000
11000100 001
11000100 010
11000100 011
11000100 100
11000100 101
11000100 110
11000100 111
11000101 000
11000101 001
11000101 010
11000101 011
11000101 100
11000101 101
11000101 110
11000101 111
11000110 000
11000110 001
11000110 010
11000110 011
11000110 100
11000110 101
11000110 110
11000110 111
11000111 000
11000111 001
11000111 010
11000111 011
11000111 100
11000111 101
11000111 110
11000111 111
11001000 000
11001000 001
11001000 010
11001000 011
11001000 100
11001000 101
11001000 110
11001000 111
11001001 000
11001001 001
11001001 010
11001001 011
11001001 100
11001001 101
11001001 110
11001001 111
11001010 000
11001010 001
11001010 010
11001010 011
11001010 100
11001010 101
11001010 110
11001010 111
11001011 000
11001011 001
11001011 010
11001011 011
11001011 100
11001011 101
11001011 110
11001011 111
11001100 000
11001100 001
11001100 010
11001100 011
11001100 100
11001100 101
11001100 110
11001100 111
11001101 000
11001101 001
11001101 010
11001101 011
11001101 100
11001101 101
11001101 110
11001101 111
11001110 000
11001110 001
11001110 010
11001110 011
11001110 100
11001110 101
11001110 110
11001110 111
11001111 000
11001111 001
11001111 010
11001111 011
11001111 100
11001111 101
11001111 110
11001111 111
11010000 000
11010000 001
11010000 010
11010000 011
11010000 100
11010000 101
11010000 110
11010000 111
11010001 000
11010001 001
11010001 010
11010001 011
11010001 100
11010001 101
11010001 110
11010001 111
11010010 000
11010010 001
11010010 010
11010010 011
11010010 100
11010010 101
11010010 110
11010010 111
11010011 000
11010011 001
11010011 010
11010011 011
11010011 100
11010011 101
11010011 110
11010011 111
11010100 000
11010100 001
11010100 010
11010100 011
11010100 100
11010100 101
11010100 110
11010100 111
11010101 000
11010101 001
11010101 010
11010101 011
11010101 100
11010101 101
11010101 110
11010101 111
11010110 000
11010110 001
11010110 010
11010110 011
11010110 100
11010110 101
11010110 110
11010110 111
11010111 000
11010111 001
11010111 010
11010111 011
11010111 100
11010111 101
11010111 110
11010111 111
11011000 000
11011000 001
11011000 010
11011000 011
11011000 100
11011000 101
11011000 110
11011000 111
11011001 000
11011001 001
11011001 010
11011001 011
11011001 100
11011001 101
11011001 110
11011001 111
11011010 000
11011010 001
11011010 010
11011010 011
11011010 100
11011010 101
11011010 110
11011010 111
11011011 000
11011011 001
11011011 010
11011011 011
11011011 100
11011011 101
11011011 110
11011011 111
11011100 000
11011100 001
11011100 010
11011100 011
11011100 100
11011100 101
11011100 110
11011100 111
11011101 000
11011101 001
11011101 010
11011101 011
11011101 100
11011101 101
11011101 110
11011101 111
11011110 000
11011110 001
11011110 010
11011110 011
11011110 100
11011110 101
11011110 110
11011110 111
11011111 000
11011111 001
11011111 010
11011111 011
11011111 100
11011111 101
11011111 110
11011111 111
11100000 000
11100000 001
11100000 010
11100000 011
11100000 100
11100000 101
11100000 110
11100000 111
11100001 000
11100001 001
11100001 010
11100001 011
11100001 100
11100001 101
11100001 110
11100001 111
11100010 000
11100010 001
11100010 010
11100010 011
11100010 100
11100010 101
11100010 110
11100010 111
11100011 000
11100011 001
11100011 010
11100011 011
11100011 100
11100011 101
11100011 110
11100011 111
11100100 000
11100100 001
11100100 010
11100100 011
11100100 100
11100100 101
11100100 110
11100100 111
11100101 000
11100101 001
11100101 010
11100101 011
11100101 100
11100101 101
11100101 110
11100101 111
11100110 000
11100110 001
11100110 010
11100110 011
11100110 100
11100110 101
11100110 110
11100110 111
11100111 000
11100111 001
11100111 010
11100111 011
11100111 100
11100111 101
11100111 110
11100111 111
11101000 000
11101000 001
11101000 010
11101000 011
11101000 100
11101000 101
11101000 110
11101000 111
11101001 000
11101001 001
11101001 010
11101001 011
11101001 100
11101001 101
11101001 110
11101001 111
11101010 000
11101010 001
11101010 010
11101010 011
11101010 100
11101010 101
11101010 110
11101010 111
11101011 000
11101011 001
11101011 010
11101011 011
11101011 100
11101011 101
11101011 110
11101011 111
11101100 000
11101100 001
11101100 010
11101100 011
11101100 100
11101100 101
11101100 110
11101100 111
11101101 000
11101101 001
11101101 010
11101101 011
11101101 100
11101101 101
11101101 110
11101101 111
11101110 000
11101110 001
11101110 010
11101110 011
11101110 100
11101110 101
11101110 110
11101110 111
11101111 000
11101111 001
11101111 010
11101111 011
11101111 100
11101111 101
11101111 110
11101111 111
11110000 000
11110000 001
11110000 010
11110000 011
11110000 100
11110000 101
11110000 110
11110000 111
11110001 000
11110001 001
11110001 010
11110001 011
11110001 100
11110001 101
11110001 110
11110001 111
11110010 000
11110010 001
11110010 010
11110010 011
11110010 100
11110010 101
11110010 110
11110010 111
11110011 000
11110011 001
11110011 010
11110011 011
11110011 100
11110011 101
11110011 110
11110011 111
11110100 000
11110100 001
11110100 010
11110100 011
11110100 100
11110100 101
11110100 110
11110100 111
11110101 000
11110101 001
11110101 010
11110101 011
11110101 100
11110101 101
11110101 110
11110101 111
11110110 000
11110110 001
11110110 010
11110110 011
11110110 100
11110110 101
11110110 110
11110110 111
11110111 000
11110111 001
11110111 010
11110111 011
11110111 100
11110111 101
11110111 110
11110111 111
11111000 000
11111000 001
11111000 010
11111000 011
11111000 100
11111000 101
11111000 110
11111000 111
11111001 000
11111001 001
11111001 010
11111001 011
11111001 100
11111001 101
11111001 110
11111001 111
11111010 000
11111010 001
11111010 010
11111010 011
11111010 100
11111010 101
11111010 110
11111010 111
11111011 000
11111011 001
11111011 010
11111011 011
11111011 100
11111011 101
11111011 110
11111011 111
11111100 000
11111100 001
11111100 010
11111100 011
11111100 100
11111100 101
11111100 110
11111100 111
11111101 000
11111101 001
11111101 010
11111101 011
11111101 100
11111101 101
11111101 110
11111101 111
11111110 000
11111110 001
11111110 010
11111110 011
11111110 100
11111110 101
11111110 110
11111110 111
11111111 000
11111111 001
11111111 010
11111111 011
11111111 100
11111111 101
11111111 110
11111111 111
.
